"filename", "language", "PHP", "CSS", "JavaScript", "XML", "JSON", "comment", "blank", "total"
"d:\wamp\www\istakip\Projects\Frontend\Config\Auth.php", "PHP", -33, 0, 0, 0, 0, -44, -4, -81
"d:\wamp\www\istakip\Projects\Frontend\Config\Cryptography.php", "PHP", -5, 0, 0, 0, 0, -18, -3, -26
"d:\wamp\www\istakip\Projects\Frontend\Config\Database.php", "PHP", -41, 0, 0, 0, 0, -54, -5, -100
"d:\wamp\www\istakip\Projects\Frontend\Config\Filesystem.php", "PHP", -8, 0, 0, 0, 0, -12, -2, -22
"d:\wamp\www\istakip\Projects\Frontend\Config\Masterpage.php", "PHP", -46, 0, 0, 0, 0, -88, -21, -155
"d:\wamp\www\istakip\Projects\Frontend\Config\Project.php", "PHP", -31, 0, 0, 0, 0, -115, -24, -170
"d:\wamp\www\istakip\Projects\Frontend\Config\Routing.php", "PHP", -14, 0, 0, 0, 0, -48, -12, -74
"d:\wamp\www\istakip\Projects\Frontend\Config\Services.php", "PHP", -69, 0, 0, 0, 0, -51, -10, -130
"d:\wamp\www\istakip\Projects\Frontend\Config\Starting.php", "PHP", -13, 0, 0, 0, 0, -64, -12, -89
"d:\wamp\www\istakip\Projects\Frontend\Config\Storage.php", "PHP", -46, 0, 0, 0, 0, -53, -10, -109
"d:\wamp\www\istakip\Projects\Frontend\Config\ViewObjects.php", "PHP", -110, 0, 0, 0, 0, -36, -9, -155
"d:\wamp\www\istakip\Projects\Frontend\Controllers\Ajax.php", "PHP", -916, 0, 0, 0, 0, 0, -237, -1153
"d:\wamp\www\istakip\Projects\Frontend\Controllers\Faturalar.php", "PHP", -247, 0, 0, 0, 0, -66, -129, -442
"d:\wamp\www\istakip\Projects\Frontend\Controllers\Home.php", "PHP", -22, 0, 0, 0, 0, -12, -6, -40
"d:\wamp\www\istakip\Projects\Frontend\Controllers\Initialize.php", "PHP", -10, 0, 0, 0, 0, -5, -2, -17
"d:\wamp\www\istakip\Projects\Frontend\Controllers\Proje.php", "PHP", -98, 0, 0, 0, 0, 0, -48, -146
"d:\wamp\www\istakip\Projects\Frontend\Controllers\Teklif.php", "PHP", -57, 0, 0, 0, 0, 0, -37, -94
"d:\wamp\www\istakip\Projects\Frontend\Controllers\paytr.php", "PHP", -131, 0, 0, 0, 0, -33, -58, -222
"d:\wamp\www\istakip\Projects\Frontend\Models\AyarModel.php", "PHP", -361, 0, 0, 0, 0, -11, -224, -596
"d:\wamp\www\istakip\Projects\Frontend\Models\CariModel.php", "PHP", -61, 0, 0, 0, 0, -2, -18, -81
